Count,Code,Description,Retail,Date,Cost,Supplier,Book,Total,Category,,,,,,,,
507,,120 ohm 1/2 watt - bulk older - see IC containers,,,$0.06,,$0.02,$10.14,14,,,,,,,,
,,,,,,,,$0.00,14,,,,,,,,
47,,120k ohm 1/2 watt,,,,,$0.06,$2.82,14,,,,,,,,
1,,12k ohm 1 watt,,,,,$0.15,$0.15,14,,,,,,,,
50,,12k ohm 2 watt,,,,,$0.25,$12.50,14,,,,,,,,
3,,12m ohm focus,,,$3.03,,$0.05,$0.15,14,,,,,,,,
12,,150 ohm 1 watt,,,,D/S,$0.22,$2.64,14,,,,,,,,
61,,150 ohm 1/2 watt,,,,,$0.16,$9.76,14,,,,,,,,
7,,150k ohm 1 watt metal small,,,,TESA,$0.28,$1.96,14,,,,,,,,
2,,150k ohm 1/2 watt,,,,,$0.06,$0.12,14,,,,,,,,
2,,15k ohm 5 watt ceramic,$0.70,9/08/2016,$0.30,eBay,$0.00,$0.00,14,,,,,,,,
77,,15m ohm 1/2 watt,,,,,$0.06,$4.62,14,,,,,,,,
2,,16m ohm 2W metal focus,,,,T/T,$0.85,$1.70,14,,,,,,,,
6,,180 ohm 1/2 watt,,,,,$0.06,$0.36,14,,,,,,,,
103,,180 ohm 2 watt,,,$0.25,,$0.05,$5.15,14,,,,,,,,
8,,180k ohm 1/2 watt,,,,,$0.06,$0.48,14,,,,,,,,
30,,180k ohm 1/2 watt,,,,,$0.06,$1.80,14,,,,,,,,
46,,1k metal film 1W small size,$0.40,,$0.24,TESA,$0.24,$11.04,14,,,,,,,,
1,,18k ohm 1/2 watt metal,,,,,$0.16,$0.16,14,,,,,,,,
4,,18m ohm 2W metal focus,,,$1.00,TESA,$0.20,$0.80,14,,,,,,,,
41,,150 ohm 1W metal,,,,,$0.00,$0.00,14,,,,,,,,
6,,1k ohm 1 watt,,,,,$0.17,$1.02,14,,,,,,,,
2,,1.8k ohm 1/2 watt,,,,,$0.06,$0.12,14,,,,,,,,
0,,22k 5W ceramic,,,$0.25,eBay,$0.00,$0.00,14,,,,,,,,
11,,1m ohm 1 watt,,,,,$0.17,$1.87,14,,,,,,,,
99,,1.5m ohm 1/2 watt,,,,,$0.06,$5.94,14,,,,,,,,
5,,1.5m ohm 1/2 watt,,,,,$0.06,$0.30,14,,,,,,,,
3,,2.2 ohm 2 watt,,,,,$0.25,$0.75,14,,,,,,,,
2,,2.7 ohm 2 watt,,,,,$0.25,$0.50,14,,,,,,,,
6,,27 ohm 10 watt,$5.00,29/03/2017,$0.70,eBay,$0.00,$0.00,14,,,,,,,,
3,,220 ohm 10 watt,,,,,$0.74,$2.22,14,,,,,,,,
5,,220k ohm 1/2 watt,,,,,$0.06,$0.30,14,,,,,,,,
34,,220k ohm 1 watt metal,,,,,$0.25,$8.50,14,,,,,,,,
1,,22k ohm 1/2 watt metal,,,,,$0.16,$0.16,14,,,,,,,,
8,,22k ohm 1/2 watt,,,,,$0.06,$0.48,14,,,,,,,,
6,,22k ohm 7 watt,,,,,$0.65,$3.90,14,,,,,,,,
144,,22k ohm 2 watt,,,,,$0.25,$36.00,14,,,,,,,,
6,,270 ohm 1/2 watt,,,,,$0.06,$0.36,14,,,,,,,,
56,,270 ohm 2 watt,,,,,$0.25,$14.00,14,,,,,,,,
4,,270 ohm 1 watt,,,,,$0.17,$0.68,14,,,,,,,,
6,,270 ohm 1/2 watt,,,,,$0.06,$0.36,14,,,,,,,,
2,R1534,270k ohm 1 watt carbon,,,,D/S,$0.18,$0.36,14,,,,,,,,
6,,270k ohm 1/2 watt,,,,,$0.06,$0.36,14,,,,,,,,
3,,27k ohm 1 watt,,,,,$0.17,$0.51,14,,,,,,,,
1,,27k ohm 1/2 watt,,,,,$0.06,$0.06,14,,,,,,,,
4,,2.2k ohm 7 watt (used),,,,,$0.65,$2.60,14,,,,,,,,
3,,2.7k ohm 1/2 watt,,,,,$0.06,$0.18,14,,,,,,,,
16,,2.7k ohm 4 watt,,,,,$0.35,$5.60,14,,,,,,,,
4,,2.7k ohm 5 watt,,,,,$0.35,$1.40,14,,,,,,,,
1,,2.7k ohm 7 watt,,,,,$0.65,$0.65,14,,,,,,,,
18,,2.7k ohm 2 watt,,,,,$0.25,$4.50,14,,,,,,,,
3,,2.2m ohm 2W metal focus,,,,TESA,$0.74,$2.22,14,,,,,,,,
20,,2.2m ohm 1/2 watt,,,,,$0.06,$1.20,14,,,,,,,,
1,,2.2m ohm 2 watt,,,,,$0.65,$0.65,14,,,,,,,,
5,,3.3 ohm 2 watt (mostly used),,,,,$0.35,$1.75,14,,,,,,,,
5,,200 ohm 5W carbon film,,,$0.60,eBay,$0.00,$0.00,14,,,,,,,,
2,,3.3 ohm 1 watt,,,,,$0.17,$0.34,14,,,,,,,,
2,,30m ohm focus,,,$1.81,,$0.20,$0.40,14,,,,,,,,
1,R2W-33E,33 ohm 2 watt,,,,TESA,$0.49,$0.49,14,,,,,,,,
,,,,,,,$0.00,$0.00,14,,,,,,,,
72,,330 ohm 2 watt,,,,,$0.25,$18.00,14,,,,,,,,
6,,330k ohm 2 watt,,,,TDON,$0.45,$2.70,14,,,,,,,,
1,,330k ohm 1 watt metal,,,,,$0.16,$0.16,14,,,,,,,,
7,,330k ohm 2 watt,,,,,$0.25,$1.75,14,,,,,,,,
6,,3m3 0.67W,,,$0.00,,$0.00,$0.00,14,,,,,,,,
1,,33k ohm 7 watt,,,,,$0.65,$0.65,14,,,,,,,,
5,,390 ohm 1/2 watt,,,,,$0.06,$0.30,14,,,,,,,,
4,,390k ohm 2 watt metal,,,,TDON,$0.45,$1.80,14,,,,,,,,
